Class,CBO,DIT,LCOM,WMC
org.apache.fontbox.ttf.GlyfDescript-2.0.30,6,0.0,3,5
org.apache.fontbox.ttf.GlyfSimpleDescript-2.0.30,4,1.0,4,24
org.apache.fontbox.ttf.GlyphData-2.0.30,12,0.0,1,13
org.apache.fontbox.ttf.GlyphRenderer-2.0.30,5,0.0,1,23
org.apache.fontbox.ttf.GlyphRenderer.Point-2.0.30,1,0.0,0,5
org.apache.fontbox.ttf.GlyphSubstitutionTable-2.0.30,21,1.0,1,81
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTable-2.0.30,4,0.0,1,0
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat1-2.0.30,2,1.0,1,2
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat2-2.0.30,3,1.0,1,4
org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureRecord-2.0.30,2,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureTable-2.0.30,3,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysRecord-2.0.30,2,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysTable-2.0.30,3,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupSubTable-2.0.30,5,0.0,1,0
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTable-2.0.30,2,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat1-2.0.30,2,1.0,1,3
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat2-2.0.30,2,1.0,1,3
org.apache.fontbox.ttf.GlyphSubstitutionTable.RangeRecord-2.0.30,2,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptRecord-2.0.30,2,0.0,0,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptTable-2.0.30,3,0.0,0,1
org.apache.fontbox.ttf.GlyphTable-2.0.30,15,1.0,1,19
org.apache.fontbox.ttf.HeaderTable-2.0.30,13,1.0,1,36
org.apache.fontbox.ttf.HorizontalHeaderTable-2.0.30,8,1.0,1,36
org.apache.fontbox.ttf.HorizontalMetricsTable-2.0.30,11,1.0,1,14
org.apache.fontbox.ttf.IndexToLocationTable-2.0.30,7,1.0,1,8
org.apache.fontbox.ttf.KerningSubtable-2.0.30,5,0.0,1,29
org.apache.fontbox.ttf.KerningSubtable.PairData0Format0-2.0.30,4,0.0,2,9
org.apache.fontbox.ttf.KerningTable-2.0.30,5,1.0,1,12
org.apache.fontbox.ttf.MaximumProfileTable-2.0.30,7,1.0,1,33
org.apache.fontbox.ttf.MemoryTTFDataStream-2.0.30,5,1.0,2,19
org.apache.fontbox.ttf.NameRecord-2.0.30,5,0.0,2,16
org.apache.fontbox.ttf.NamingTable-2.0.30,8,1.0,1,30
org.apache.fontbox.ttf.OS2WindowsMetricsTable-2.0.30,8,1.0,1,73
org.apache.fontbox.ttf.OTFParser-2.0.30,12,1.0,7,12
