Class,CBO,DIT,LCOM,WMC
org.apache.fontbox.ttf.HorizontalHeaderTable,8,1,1,36
org.apache.fontbox.ttf.HorizontalMetricsTable,11,1,1,14
org.apache.fontbox.ttf.IndexToLocationTable,7,1,1,8
org.apache.fontbox.ttf.KerningSubtable,5,0,1,29
org.apache.fontbox.ttf.KerningSubtable.PairData0Format0,4,0,2,9
org.apache.fontbox.ttf.KerningTable,5,1,1,12
org.apache.fontbox.ttf.MaximumProfileTable,7,1,1,32
org.apache.fontbox.ttf.MemoryTTFDataStream,5,1,2,19
org.apache.fontbox.ttf.NameRecord,5,0,2,16
org.apache.fontbox.ttf.NamingTable,8,1,1,30
org.apache.fontbox.ttf.OS2WindowsMetricsTable,8,1,1,73
org.apache.fontbox.ttf.OTFParser,12,1,7,12
org.apache.fontbox.ttf.OTLTable,3,1,0,1
org.apache.fontbox.ttf.OpenTypeFont,14,1,1,9
org.apache.fontbox.ttf.OpenTypeScript,3,0,1,21
org.apache.fontbox.ttf.PostScriptTable,11,1,1,40
org.apache.fontbox.ttf.RAFDataStream,5,1,2,13
org.apache.fontbox.ttf.SubstitutingCmapLookup,5,0,1,3
org.apache.fontbox.ttf.TTCDataStream,2,1,2,11
org.apache.fontbox.ttf.TTFDataStream,36,0,8,20
org.apache.fontbox.ttf.TTFParser,36,0,1,47
org.apache.fontbox.ttf.TTFSubsetter,18,0,1,107
org.apache.fontbox.ttf.TTFTable,24,0,6,11
org.apache.fontbox.ttf.TrueTypeCollection,13,0,1,15
org.apache.fontbox.ttf.TrueTypeFont,59,0,2,81
org.apache.fontbox.ttf.VerticalHeaderTable,6,1,1,19
org.apache.fontbox.ttf.VerticalMetricsTable,7,1,1,12
org.apache.fontbox.ttf.VerticalOriginTable,4,1,1,6
org.apache.fontbox.ttf.WGL4Names,2,0,0,2
org.apache.fontbox.type1.DamagedFontException,3,0,0,1
org.apache.fontbox.type1.Token,5,0,3,11
org.apache.fontbox.type1.Token.Kind,3,n/a,2,0
org.apache.fontbox.type1.Type1Font,15,0,36,47
org.apache.fontbox.type1.Type1Lexer,5,0,1,67
org.apache.fontbox.type1.Type1Parser,7,0,1,144
org.apache.fontbox.util.BoundingBox,27,0,1,15
org.apache.fontbox.util.Charsets,10,0,0,1
org.apache.fontbox.util.autodetect.FontFileFinder,8,0,1,20
org.apache.fontbox.util.autodetect.MacFontDirFinder,2,1,1,1
org.apache.fontbox.util.autodetect.NativeFontDirFinder,4,0,1,4
org.apache.fontbox.util.autodetect.OS400FontDirFinder,2,1,1,1
org.apache.fontbox.util.autodetect.UnixFontDirFinder,2,1,1,1
org.apache.fontbox.util.autodetect.WindowsFontDirFinder,3,0,1,15
org.apache.pdfbox.contentstream.PDFGraphicsStreamEngine,74,1,14,2
org.apache.pdfbox.contentstream.PDFStreamEngine,112,0,5,93
org.apache.pdfbox.contentstream.operator.DrawObject,14,1,2,8
org.apache.pdfbox.contentstream.operator.MissingOperandException,33,0,0,1
org.apache.pdfbox.contentstream.operator.Operator,84,0,4,12
org.apache.pdfbox.contentstream.operator.OperatorName,88,0,0,1
org.apache.pdfbox.contentstream.operator.OperatorProcessor,53,0,4,6
org.apache.pdfbox.contentstream.operator.color.SetColor,17,1,2,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,14,2,2,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorN,5,3,1,1
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorSpace,12,1,2,4
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor,14,3,2,2
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,14,3,2,2
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,14,3,2,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,14,2,2,4
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN,5,3,1,1
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorSpace,12,1,2,4
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor,14,3,2,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceGrayColor,14,3,2,2
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor,14,3,2,2
org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath,9,2,2,4
org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage,9,2,2,3
org.apache.pdfbox.contentstream.operator.graphics.ClipEvenOddRule,5,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule,5,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.CloseAndStrokePath,6,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.CloseFillEvenOddAndStrokePath,6,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.CloseFillNonZeroAndStrokePath,6,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.ClosePath,5,2,2,3
org.apache.pdfbox.contentstream.operator.graphics.CurveTo,9,2,2,5
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint,9,2,2,4
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateInitialPoint,9,2,2,5
org.apache.pdfbox.contentstream.operator.graphics.DrawObject,14,2,2,9
org.apache.pdfbox.contentstream.operator.graphics.EndPath,5,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddAndStrokePath,5,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,5,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroAndStrokePath,5,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule,6,2,2,2
org.apache.pdfbox.contentstream.operator.graphics.GraphicsOperatorProcessor,25,1,1,1
org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,3,3,1,1
